raw_material_id,raw_material_sku,suppliers
388,RM-C17-sorbic-acid-c99fcf34,"Ashland,Colorcon"
389,RM-C17-sorbitol-fe5cb8ba,"Nutra Food Ingredients,Prinova USA"
390,RM-C17-starch-2edb910e,Ingredion
391,RM-C17-sucrose-efa729e9,"Ingredion,Prinova USA"
392,RM-C17-sunflower-oil-bb851f70,"ADM,Cargill"
393,RM-C17-thiamine-3ad733ed,"Prinova USA,PureBulk"
394,RM-C17-thiamine-mononitrate-b51b48ac,"Prinova USA,PureBulk"
395,RM-C17-titanium-dioxide-341f50d1,"Ashland,Colorcon"
396,RM-C17-tocopherols-a8fa557b,"Prinova USA,PureBulk"
397,RM-C17-tricalcium-phosphate-431a4818,"Jost Chemical,PureBulk"
398,RM-C17-vitamin-a-8273c020,"Prinova USA,PureBulk"
399,RM-C17-vitamin-b12-79c7611a,"Prinova USA,PureBulk"
400,RM-C17-vitamin-b6-64f65ea4,"Prinova USA,PureBulk"
401,RM-C17-vitamin-c-44b4a0f7,"Prinova USA,PureBulk"
402,RM-C17-vitamin-d3-e8b80826,"Prinova USA,PureBulk"
403,RM-C17-vitamin-e-d3ec2225,"Prinova USA,PureBulk"
404,RM-C17-vitamin-k-bc485b26,"Prinova USA,PureBulk"
405,RM-C17-zinc-oxide-add96a17,"Jost Chemical,PureBulk"
406,RM-C17-dl-alpha-tocopherol-68b372d5,"Prinova USA,PureBulk"
407,RM-C17-dl-alpha-tocopheryl-acetate-153b1b41,"Prinova USA,PureBulk"
408,RM-C17-dl-tartaric-acid-d0c76b57,"Prinova USA,Univar Solutions"
409,RM-C18-bcaas-162e8977,"BulkSupplements,PureBulk"
410,RM-C18-collagen-peptides-45fc58ed,"Darling Ingredients / Rousselot,Nutra Food Ingredients"
411,RM-C18-digestive-enzymes-5dab88c4,"ADM,Specialty Enzymes & Probiotics"
412,RM-C18-lecithin-a7f2d498,"ADM,Cargill"
413,RM-C18-natural-and-artificial-flavors-0e9a8451,"Gold Coast Ingredients"
414,RM-C18-whey-protein-isolate-5a7e86bf,"Actus Nutrition,Prinova USA"
415,RM-C19-calcium-c18ce14f,"Jost Chemical,Prinova USA"
416,RM-C19-carnauba-wax-217a6c92,"Koster Keunen,Strahl & Pitsch"
417,RM-C19-dicalcium-phosphate-2e99d674,"Jost Chemical,PureBulk"
418,RM-C19-gelatin-33f6d946,"Capsuline,Darling Ingredients / Rousselot"
419,RM-C19-gum-arabic-d8b5f627,"Ingredion,Prinova USA"
420,RM-C19-hydroxypropylmethylcellulose-eb1c22cf,"Ashland,Colorcon"
421,RM-C19-magnesium-oxide-22a42bff,"Jost Chemical,Prinova USA"
422,RM-C19-magnesium-stearate-63974975,"Ashland,Colorcon"
423,RM-C19-microcrystalline-cellulose-652ba547,"Ashland,Colorcon"
424,RM-C19-polyethylene-glycol-42d8398a,"Spectrum Chemical,Univar Solutions"
425,RM-C19-polysorbate-80-d1fa702e,"Ashland,Colorcon"
426,RM-C19-silicon-dioxide-8f3934a0,"Ashland,Colorcon"
427,RM-C19-stearic-acid-3d5eb908,"Ashland,Colorcon"
428,RM-C19-sucrose-c6abca6a,"Ingredion,Prinova USA"
429,RM-C19-titanium-dioxide-6921e678,"Ashland,Colorcon"
430,RM-C19-vegetable-acetoglycerides-14dd8d70,"Koster Keunen,Strahl & Pitsch"
431,RM-C19-vitamin-d3-cholecalciferol-3f392102,"Prinova USA,PureBulk"
432,RM-C20-bifidobacterium-lactis-bl-04-5b08978c,"Custom Probiotics,IFF"
433,RM-C20-milk-protein-6d7328df,"Actus Nutrition,Prinova USA"
434,RM-C20-organic-erythritol-7dc0aad5,"Nutra Food Ingredients,Prinova USA"
435,RM-C20-organic-gum-acacia-17c541a3,Ingredion
436,RM-C20-organic-stevia-extract-leaf-e803f0cb,"Sawgrass Nutra Labs"
437,RM-C20-organic-tapioca-fiber-imo-efc511c2,"Ingredion,Nutra Food Ingredients"
438,RM-C20-organic-vanilla-flavors-713ec126,"Gold Coast Ingredients,Virginia Dare"
439,RM-C20-sea-salt-1e8490d8,"Jost Chemical,PureBulk"
440,RM-C20-sunflower-lecithin-34d25076,"ADM,Cargill"
441,RM-C20-whey-protein-isolate-bfe00719,"Actus Nutrition,Prinova USA"
442,RM-C22-magnesium-citrate-086264b4,"Jost Chemical,PureBulk"
443,RM-C22-magnesium-glycinate-946fc249,"Balchem,PureBulk"
444,RM-C22-magnesium-malate-fbb003be,"Jost Chemical,Prinova USA"
445,RM-C22-magnesium-oxide-c1a77e26,"Jost Chemical,Prinova USA"
446,RM-C23-fructooligosaccharides-e129cdd9,Ingredion
447,RM-C23-natural-vanilla-a59abdd6,"Gold Coast Ingredients,Virginia Dare"
448,RM-C23-stevia-25f8dd86,"Cargill,Prinova USA"
449,RM-C23-whey-protein-concentrate-55ceaff9,"Actus Nutrition,Prinova USA"
450,RM-C23-whey-protein-isolate-4ac9a835,"Actus Nutrition,Prinova USA"
451,RM-C23-xanthan-gum-d9789f5b,Ingredion
452,RM-C24-glycerin-6cb5343a,Ingredion
453,RM-C24-olive-oil-1c285951,"ADM,Cargill"
454,RM-C24-softgel-bovine-gelatin-81674934,"Capsuline,Darling Ingredients / Rousselot"
455,RM-C24-vitamin-d3-cholecalciferol-0949dd9f,"Prinova USA,PureBulk"
457,RM-C25-ascorbic-acid-c727ed5c,"Prinova USA,PureBulk"
458,RM-C25-b-vitamins-46e3c4f9,"Prinova USA,PureBulk"
459,RM-C25-calcium-carbonate-4eb96085,"Jost Chemical,PureBulk"
460,RM-C25-calcium-citrate-02aa8da0,"Jost Chemical,PureBulk"
461,RM-C25-chromium-6ae0933c,"Jost Chemical,Prinova USA"
462,RM-C25-copper-5e0fc5d5,"Jost Chemical,Prinova USA"
463,RM-C25-dicalcium-phosphate-2dbbfc34,"Jost Chemical,PureBulk"
464,RM-C25-ferrous-fumarate-1e0f20e4,"Jost Chemical,PureBulk"
465,RM-C25-gelatin-121e19eb,"Capsuline,Darling Ingredients / Rousselot"
466,RM-C25-glycerin-d32adb62,Ingredion
467,RM-C25-magnesium-b5c61094,"Jost Chemical,Prinova USA"
468,RM-C25-magnesium-oxide-e49e39a0,"Jost Chemical,Prinova USA"
469,RM-C25-manganese-6ca1ae84,"Jost Chemical,Prinova USA"
470,RM-C25-microcrystalline-cellulose-6d0e7fe3,"Ashland,Colorcon"
471,RM-C25-potassium-chloride-f927469d,"Jost Chemical,PureBulk"
472,RM-C25-selenium-e14cba90,"Jost Chemical,Prinova USA"
473,RM-C25-soybean-oil-a542aa7c,"ADM,Cargill"
474,RM-C25-vitamin-a-2910180c,"Prinova USA,PureBulk"
475,RM-C25-vitamin-d-aa256974,"Prinova USA,PureBulk"
476,RM-C25-vitamin-d3-5116d136,"Prinova USA,PureBulk"
477,RM-C25-vitamin-d3-cholecalciferol-564712ba,"Prinova USA,PureBulk"
478,RM-C25-vitamin-e-4f4c99b8,"Prinova USA,PureBulk"
479,RM-C25-vitamin-k-d253aa53,"Prinova USA,PureBulk"
480,RM-C25-zinc-a4c54648,"Jost Chemical,Prinova USA"
481,RM-C26-citric-acid-fa037e6f,"Prinova USA,Univar Solutions"
482,RM-C26-magnesium-malate-98ccabb5,"Jost Chemical,Prinova USA"
483,RM-C26-natural-flavor-1d5bbf86,"Gold Coast Ingredients"
484,RM-C26-natural-flavors-20d1db28,"Gold Coast Ingredients"
485,RM-C26-potassium-chloride-414b5246,"Jost Chemical,PureBulk"
486,RM-C26-salt-sodium-chloride-dd396d8b,"Jost Chemical,PureBulk"
487,RM-C26-stevia-leaf-extract-40dbb2cc,"Cargill,Prinova USA"
488,RM-C27-citric-acid-22adab04,"Prinova USA,Univar Solutions"
489,RM-C27-dextrose-7cf0a4ab,"Ingredion,Prinova USA"
490,RM-C27-dipotassium-phosphate-0471d680,"Jost Chemical,PureBulk"
491,RM-C27-natural-flavor-1bb80751,"Gold Coast Ingredients"
492,RM-C27-natural-strawberry-flavor-6678e15f,"Gold Coast Ingredients"
493,RM-C27-potassium-citrate-b91db2ed,"Jost Chemical,PureBulk"
494,RM-C27-pure-cane-sugar-44f6c2d3,"Ingredion,Prinova USA"
495,RM-C27-salt-848383fa,"Jost Chemical,PureBulk"
496,RM-C27-silicon-dioxide-3e48964c,"Ashland,Colorcon"
497,RM-C27-sodium-citrate-08487851,"Jost Chemical,PureBulk"
498,RM-C27-stevia-leaf-extract-rebaudioside-a-7b086972,"Cargill,Prinova USA"
499,RM-C27-vitamin-b12-cyanocobalamin-2da25f81,"Prinova USA,PureBulk"
500,RM-C27-vitamin-b3-niacinamide-7dfaf6f5,"Prinova USA,PureBulk"
501,RM-C27-vitamin-b5-d-calcium-pantothenate-fd43f6c0,"Prinova USA,PureBulk"
